Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Get Together,NorthGate Brewing,MN,Midwest,IPA,Strong Ale,16,4.5,50
Maggie's Leap,NorthGate Brewing,MN,Midwest,Stout / Porter,Dark,16,4.9,26
Wall's End,NorthGate Brewing,MN,Midwest,Dark Ale,Dark,16,4.8,19
Pumpion,NorthGate Brewing,MN,Midwest,Ale - Other,Ale,16,6.0,38
Citra Ass Down,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,8.0,68
London Balling,Against the Grain Brewery,KY,South,Strong Ale,Strong Ale,16,12.5,80
35 K,Against the Grain Brewery,KY,South,Stout / Porter,Dark,16,7.7,25
A Beer,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,4.2,42
Rules are Rules,Against the Grain Brewery,KY,South,German Lager,Lager,16,5.0,25
Flesh Gourd'n,Against the Grain Brewery,KY,South,Ale - Other,Ale,16,6.6,21
Sho'nuff,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,4.0,13
Bloody Show,Against the Grain Brewery,KY,South,Pale Ale,Ale,16,5.5,17
Rico Sauvin,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,7.6,68
Coq de la Marche,Against the Grain Brewery,KY,South,Ale - Other,Ale,16,5.1,38
Pile of Face,Against the Grain Brewery,KY,South,IPA,Strong Ale,16,6.0,65
The Brown Note,Against the Grain Brewery,KY,South,Dark Ale,Dark,16,5.0,20
Habitus (2014),Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,8.0,100
Solis,Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,7.5,85
Jucundus,Mike Hess Brewing Company,CA,West,Pale Ale,Ale,16,6.0,24
Habitus,Mike Hess Brewing Company,CA,West,IPA,Strong Ale,16,8.0,100
Grazias,Mike Hess Brewing Company,CA,West,Pale Ale,Ale,16,6.3,30
Claritas,Mike Hess Brewing Company,CA,West,German Ale,Ale,16,5.8,28
Park,Fort Point Beer Company,CA,West,Pale Ale,Ale,12,4.7,19
Westfalia,Fort Point Beer Company,CA,West,Dark Ale,Dark,12,5.6,16
KSA,Fort Point Beer Company,CA,West,German Ale,Ale,12,4.6,17
Villager,Fort Point Beer Company,CA,West,IPA,Strong Ale,12,6.3,42
Yeti Imperial Stout,Great Divide Brewing Company,CO,West,Stout / Porter,Dark,12,9.5,75
Dark Star,Big Lake Brewing,MI,Midwest,Stout / Porter,Dark,16,8.0,54
Sparkle,Petoskey Brewing,MI,Midwest,Lager,Lager,16,4.1,12
Nordskye,Blackrocks Brewery,MI,Midwest,IPA,Strong Ale,12,4.8,47
Hotbox Brown,Perrin Brewing Company,MI,Midwest,Dark Ale,Dark,12,5.5,10
Gold,Perrin Brewing Company,MI,Midwest,Pale Ale,Ale,12,4.8,15
98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,MI,Midwest,IPA,Strong Ale,12,6.5,65
Veteran’s Pale Ale (VPA),Perrin Brewing Company,MI,Midwest,Pale Ale,Ale,12,5.0,40
Grapefruit IPA,Perrin Brewing Company,MI,Midwest,IPA,Strong Ale,12,5.0,35
Train Hopper,Witch's Hat Brewing Company,MI,Midwest,IPA,Strong Ale,12,5.8,72
Dirty Bastard,Founders Brewing Company,MI,Midwest,Strong Ale,Strong Ale,12,8.5,50
Damascene Apricot Sour,Tin Man Brewing Company,IN,Midwest,Sour,Other,16,5.2,12
Csar,Tin Man Brewing Company,IN,Midwest,Stout / Porter,Dark,16,12.0,90
Saucy Intruder,Black Acre Brewing Co.,IN,Midwest,Other,Other,16,7.2,75
Thai.p.a,Bare Hands Brewery,IN,Midwest,IPA,Strong Ale,16,7.0,46
Citra Faced,Three Pints Brewing,IN,Midwest,Pale Ale,Ale,16,5.5,64
Pole Barn Stout,Three Pints Brewing,IN,Midwest,Stout / Porter,Dark,16,5.5,31
Pale,Three Pints Brewing,IN,Midwest,Pale Ale,Ale,16,5.4,37
Yoshi's Nectar,Three Pints Brewing,IN,Midwest,Lager,Lager,16,5.3,27
The Gadget,Four Fathers Brewing,IN,Midwest,IPA,Strong Ale,16,6.4,90
Tribute,Indiana City Brewing,IN,Midwest,Pale Ale,Ale,12,5.8,58
Tip Off,Sun King Brewing Company,IN,Midwest,German Ale,Ale,16,5.2,29
Blonde Czich,Evil Czech Brewery,IN,Midwest,Pale Ale,Ale,16,4.9,23
Citrafest,450 North Brewing Company,IN,Midwest,IPA,Strong Ale,16,5.0,45
Deduction,Taxman Brewing Company,IN,Midwest,Belgian,Ale,12,8.0,22
Gone A-Rye,Cedar Creek Brewery,TX,South,IPA,Strong Ale,16,8.5,90
Surfrider,The Dudes' Brewing Company,CA,West,Pale Ale,Ale,16,5.2,35
Cow Creek,Twisted X Brewing Company,TX,South,Lager,Lager,12,5.4,26
Galaxy IPA,Big Muddy Brewing,IL,Midwest,IPA,Strong Ale,16,7.5,60
Gose,Lost Nation Brewing,VT,Northeast,Sour,Other,16,4.6,8
Vermont Pilsner,Lost Nation Brewing,VT,Northeast,German Lager,Lager,16,4.8,20
Jah Mon,Rivertowne Brewing Company,PA,Northeast,IPA,Strong Ale,12,5.0,100
Fist City,Revolution Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.5,40
Wooden Rooster,Tallgrass Brewing Company,KS,Midwest,Belgian,Ale,16,8.5,34
4Beans,Sixpoint Craft Ales,NY,Northeast,Stout / Porter,Dark,12,10.0,52
Easy Jack,Firestone Walker Brewing Company,CA,West,IPA,Strong Ale,12,4.5,47
Take Two Pils,SweetWater Brewing Company,GA,South,German Lager,Lager,12,5.5,35
Flying Mouse 4,Flying Mouse Brewery,VA,South,IPA,Strong Ale,12,7.0,70
Moar,Bent Brewstillery,MN,Midwest,IPA,Strong Ale,12,4.4,44
Nordic Blonde,Bent Brewstillery,MN,Midwest,Pale Ale,Ale,12,5.7,27
Ginger Peach Saison,Tallgrass Brewing Company,KS,Midwest,Ale - Other,Ale,16,4.8,20
Mazzie,Pollyanna Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.4,45
Weissenheimer,Destihl Brewery,IL,Midwest,German Ale,Ale,12,5.2,16
Citra Ass Down,Against The Grain Brewery,KY,South,IPA,Strong Ale,16,8.2,68
The Brown Note,Against The Grain Brewery,KY,South,Dark Ale,Dark,16,5.0,20
Neomexicanus Native,Crazy Mountain Brewing Company,CO,West,Pale Ale,Ale,12,6.0,46
Texicali,Freetail Brewing Company,TX,South,Dark Ale,Dark,12,6.5,33
Bat Outta Helles,Freetail Brewing Company,TX,South,German Lager,Lager,12,4.2,20
Rye Wit,Freetail Brewing Company,TX,South,Belgian,Ale,12,4.2,10
Soul Doubt,Freetail Brewing Company,TX,South,IPA,Strong Ale,12,5.9,70
Bimini Twist,3 Daughters Brewing,FL,South,IPA,Strong Ale,12,7.0,82
Farmer's Daughter Blonde,Red Shedman Farm Brewery and Hop...,MD,South,Pale Ale,Ale,16,5.1,17
Pump House IPA,Red Shedman Farm Brewery and Hop...,MD,South,IPA,Strong Ale,16,5.5,45
Honey Rye,Red Shedman Farm Brewery and Hop...,MD,South,Other,Other,16,5.8,18
Long Leaf,Appalachian Mountain Brewery,NC,South,IPA,Strong Ale,16,7.1,75
Honey Badger Blonde,Appalachian Mountain Brewery,NC,South,Pale Ale,Ale,16,4.7,19
Jalapeno Pale Ale,Birdsong Brewing Company,NC,South,Pale Ale,Ale,16,5.5,45
Double Duckpin,Union Craft Brewing,MD,South,IPA,Strong Ale,12,8.5,90
Old Pro,Union Craft Brewing,MD,South,Sour,Other,12,4.2,10
Abbey's Single (2015- ),Destihl Brewery,IL,Midwest,Belgian,Ale,12,4.9,22
Hop A-Peel,Atwater Brewery,MI,Midwest,IPA,Strong Ale,16,7.5,115
Wobble,Two Brothers Brewing Company,IL,Midwest,IPA,Strong Ale,16,6.3,69
Baby Daddy Session IPA,Speakasy Ales & Lagers,CA,West,IPA,Strong Ale,12,4.7,35
Saddle Bronc Brown Ale,Black Tooth Brewing Company,WY,West,Dark Ale,Dark,12,4.8,16
Bomber Mountain Amber Ale,Black Tooth Brewing Company,WY,West,Dark Ale,Dark,12,4.6,20
Totally Radler,Hopworks Urban Brewery,OR,West,Other,Other,16,2.7,21
Jammer,Sixpoint Craft Ales,NY,Northeast,Sour,Other,12,4.2,16
Pale Alement,Burn 'Em Brewing,IN,Midwest,Pale Ale,Ale,12,5.5,40
Slow Ride,New Belgium Brewing Company,CO,West,IPA,Strong Ale,12,4.5,40
Hopvale Organic Ale,Summit Brewing Company,MN,Midwest,Pale Ale,Ale,16,4.7,55
Hopkick Dropkick,Burn 'Em Brewing,IN,Midwest,IPA,Strong Ale,12,9.9,115
Union Jack,Firestone Walker Brewing Company,CA,West,IPA,Strong Ale,12,7.5,75
Chupahopra,Twisted X Brewing Company,TX,South,IPA,Strong Ale,12,7.5,63
312 Urban Pale Ale,Goose Island Brewing Company,IL,Midwest,Pale Ale,Ale,16,5.4,30
Hustle,Rhinegeist Brewery,OH,Midwest,Dark Ale,Dark,12,5.7,42
Pure Fury,Rhinegeist Brewery,OH,Midwest,Pale Ale,Ale,12,5.5,42
Self Starter,Warped Wing Brewing Company,OH,Midwest,IPA,Strong Ale,16,5.2,67
Nugget Nectar,Tröegs Brewing Company,PA,Northeast,Dark Ale,Dark,16,7.5,93
Bay of Bengal Double IPA (2014),Christian Moerlein Brewing Company,OH,Midwest,IPA,Strong Ale,12,8.9,126
Rhode Island Blueberry,Coastal Extreme Brewing Company,RI,Northeast,German Ale,Ale,12,4.6,11
Newport Storm IPA,Coastal Extreme Brewing Company,RI,Northeast,IPA,Strong Ale,12,6.5,75
Peach Pale Ale,Lone Tree Brewing Company,CO,West,Pale Ale,Ale,12,5.7,40
White Reaper,Evil Czech Brewery,IN,Midwest,IPA,Strong Ale,16,7.0,61
Suncaster Summer Wheat,Four String Brewing Company,OH,Midwest,Pale Ale,Ale,12,5.0,28
Clean Shave IPA,Glabrous Brewing Company,ME,Northeast,IPA,Strong Ale,12,6.7,70
Brass Knuckle Pale Ale,Four String Brewing Company,OH,Midwest,Pale Ale,Ale,12,5.7,36
Big Star White IPA,Four String Brewing Company,OH,Midwest,IPA,Strong Ale,12,7.0,70
Firestarter India Pale Ale,Bonfire Brewing Company,CO,West,IPA,Strong Ale,12,6.6,72
Watermelon Ale,Thomas Hooker Brewing Company,CT,Northeast,Sour,Other,12,5.1,11
4000 Footer IPA,"Woodstock Inn, Station & Brewery",NH,Northeast,IPA,Strong Ale,12,6.5,82
Unchained #18 Hop Silo,Summit Brewing Company,MN,Midwest,IPA,Strong Ale,16,8.3,100
Consilium,Renegade Brewing Company,CO,West,Pale Ale,Ale,12,5.0,40
Cali Creamin',Mother Earth Brew Company,CA,West,Pale Ale,Ale,12,5.2,21
Deception,Black Market Brewing Company,CA,West,Pale Ale,Ale,12,4.5,16
Harness the Winter,Bent Paddle Brewing Company,MN,Midwest,IPA,Strong Ale,12,7.2,87
Rule G IPA,Smartmouth Brewing Company,VA,South,IPA,Strong Ale,12,7.0,88
Murphy's Law,Smartmouth Brewing Company,VA,South,Dark Ale,Dark,12,5.8,35
Alter Ego,Smartmouth Brewing Company,VA,South,Ale - Other,Ale,12,6.2,33
Hop in the ‘Pool Helles,Base Camp Brewing Co.,OR,West,Pale Ale,Ale,12,4.9,22
P-Town Pilsner,Alameda Brewing,OR,West,Pale Ale,Ale,12,4.0,20
Klickitat Pale Ale,Alameda Brewing,OR,West,Pale Ale,Ale,12,5.3,36
Yellow Wolf Imperial IPA,Alameda Brewing,OR,West,IPA,Strong Ale,12,8.2,103
Nonstop Hef Hop,Hopworks Urban Brewery,OR,West,Pale Ale,Ale,16,3.9,20
Rise Up Red,Hopworks Urban Brewery,OR,West,Dark Ale,Dark,16,5.8,60
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,Pale Ale,Ale,12,6.5,45
Third Eye Enlightened Pale Ale,Steamworks Brewing Company,CO,West,Pale Ale,Ale,12,6.5,65
Laka Laka Pineapple,Horny Goat Brew Pub,WI,Midwest,German Ale,Ale,12,5.1,17
IPA #11,Cheboygan Brewing Company,MI,Midwest,IPA,Strong Ale,16,5.7,58
Blood Orange Honey,Cheboygan Brewing Company,MI,Midwest,Sour,Other,16,5.7,10
Main St. Virginia Ale,Center of the Universe Brewing C...,VA,South,German Ale,Ale,12,5.0,40
Mr. Blue Sky,Griffin Claw Brewing Company,MI,Midwest,Pale Ale,Ale,16,4.5,6
Weisse Versa (2012),Karbach Brewing Company,TX,South,German Ale,Ale,12,5.2,16
The Green Room,Uncle Billy's Brewery and Smokeh...,TX,South,IPA,Strong Ale,16,6.0,75
18th Anniversary Gose,Real Ale Brewing Company,TX,South,Sour,Other,12,4.4,5
Humbucker Helles,Uncle Billy's Brewery and Smokeh...,TX,South,German Lager,Lager,16,4.7,25
Point Special (Current),Stevens Point Brewery,WI,Midwest,Lager,Lager,12,4.7,9
Point Special,Stevens Point Brewery,WI,Midwest,Lager,Lager,12,4.7,9
2014 IPA Cicada Series,Southern Prohibition Brewing Com...,MS,Midwest,IPA,Strong Ale,16,7.5,72
Morning Wood Wheat (Current),Pug Ryan's Brewery,CO,West,Pale Ale,Ale,12,5.9,14
Old Soul,Crazy Mountain Brewing Company,CO,West,Belgian,Ale,12,7.5,25
Extra Pale Ale,Summit Brewing Company,MN,Midwest,Pale Ale,Ale,12,5.3,49
Oklahoma Suks,Independence Brewing Company,TX,South,Dark Ale,Dark,12,4.8,32
Cubano Espresso,Cigar City Brewing Company,FL,South,German Lager,Lager,12,5.5,25
Hunny Do Wheat,Third Street Brewhouse,MN,Midwest,Pale Ale,Ale,12,4.8,18
Sinister Minister Black IPA,Southern Prohibition Brewing Com...,MS,Midwest,IPA,Strong Ale,16,7.7,65
Gansett Light,Narragansett Brewing Company,RI,Northeast,Lager,Lager,16,3.7,10
Little Red Cap,Grimm Brothers Brewhouse,CO,West,German Ale,Ale,12,6.3,43
Perpetual Darkness,Odyssey Beerwerks,CO,West,Belgian,Ale,12,9.2,72
Clan Warrior,Odyssey Beerwerks,CO,West,Strong Ale,Strong Ale,12,8.7,29
Watershed IPA,Oakshire Brewing,OR,West,IPA,Strong Ale,12,6.7,70
Peacemaker Pale Ale,Lonerider Brewing Company,NC,South,Pale Ale,Ale,12,5.7,47
Shotgun Betty,Lonerider Brewing Company,NC,South,German Ale,Ale,12,5.8,11
Sweet Josie,Lonerider Brewing Company,NC,South,Dark Ale,Dark,12,6.1,30
Ultra Gnar Gnar IPA,Base Camp Brewing Co.,OR,West,IPA,Strong Ale,12,6.7,60
Knotty Blonde Ale,Three Creeks Brewing,OR,West,Pale Ale,Ale,12,4.0,18
Hoodoo Voodoo IPA,Three Creeks Brewing,OR,West,IPA,Strong Ale,12,6.2,82
Hopportunity Knocks IPA,Caldera Brewing Company,OR,West,IPA,Strong Ale,12,6.8,100
Wild Trail Pale Ale,Greenbrier Valley Brewing Company,WV,South,Pale Ale,Ale,12,5.7,44
Mothman Black IPA,Greenbrier Valley Brewing Company,WV,South,Dark Ale,Dark,12,6.7,71
Camelback,Phoenix Ale Brewery,AZ,West,IPA,Strong Ale,12,6.1,60
PUNK'N,Uinta Brewing Company,UT,West,Ale - Other,Ale,12,5.0,10
Sunbru Kölsch,Four Peaks Brewing Company,AZ,West,German Ale,Ale,12,5.2,17
River House,Martin House Brewing Company,TX,South,Ale - Other,Ale,16,5.0,20
Summer Brew,"Woodstock Inn, Station & Brewery",NH,Northeast,Pale Ale,Ale,12,2.8,15
Homefront IPA,Sly Fox Brewing Company,PA,Northeast,IPA,Strong Ale,12,6.0,70
Sundown,Round Guys Brewing,PA,Northeast,Ale - Other,Ale,12,7.1,36
Beer Agent Re-Ignition,Great Crescent Brewery,IN,Midwest,Pale Ale,Ale,16,5.3,22
Pinner Throwback IPA,Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,4.9,35
Power & Light,Independence Brewing Company,TX,South,Pale Ale,Ale,12,5.5,42
Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,MS,Midwest,Pale Ale,Ale,12,5.8,60
Suzy B Dirty Blonde Ale,Southern Prohibition Brewing Com...,MS,Midwest,Pale Ale,Ale,12,5.0,20
The Golden One,High Hops Brewery,CO,West,Pale Ale,Ale,12,6.3,21
The Power of Zeus,High Hops Brewery,CO,West,Pale Ale,Ale,12,7.0,68
Aviator Raspberry Blonde,Crooked Fence Brewing Company,ID,West,Pale Ale,Ale,12,4.9,25
Little Sister India Style Session Ale,Everybody's Brewing,WA,West,IPA,Strong Ale,12,4.3,60
Hinchtown Hammer Down,Flat 12 Bierwerks,IN,Midwest,Pale Ale,Ale,16,5.0,27
Point Cascade Pale Ale (2013),Stevens Point Brewery,WI,Midwest,Pale Ale,Ale,12,5.4,33
Pretzel Stout,Martin House Brewing Company,TX,South,Stout / Porter,Dark,16,6.5,47
Rad,Sixpoint Craft Ales,NY,Northeast,Sour,Other,16,3.2,7
Santa's Secret,Carolina Brewery,NC,South,Dark Ale,Dark,16,5.9,22
Salamander Slam,Frog Level Brewing Company,NC,South,IPA,Strong Ale,16,7.0,73
Blonde Hunny,Wild Wolf Brewing Company,VA,South,Pale Ale,Ale,12,6.8,21
Oak Cliff Coffee Ale,Deep Ellum Brewing Company,TX,South,Dark Ale,Dark,12,7.5,33
Seventh Son of a Seventh Son,Seventh Son Brewing Company,OH,Midwest,Strong Ale,Strong Ale,16,7.7,40
Lake Monster,Oasis Texas Brewing Company,TX,South,Stout / Porter,Dark,16,8.2,25
Night Cat,Two Brothers Brewing Company,IL,Midwest,Dark Ale,Dark,12,5.8,43
Torpedo,Sierra Nevada Brewing Company,CA,West,IPA,Strong Ale,12,7.2,65
Lobo Lito,Pedernales Brewing Company,TX,South,Lager,Lager,12,4.0,12
Day Hike Session,Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,4.1,41
American Lager,Straub Brewery,PA,Northeast,Lager,Lager,12,4.1,8
American Amber,Straub Brewery,PA,Northeast,Lager,Lager,12,4.1,8
American Light,Straub Brewery,PA,Northeast,Lager,Lager,12,3.2,13
Ranger IPA,New Belgium Brewing Company,CO,West,IPA,Strong Ale,12,6.5,70
Pride of Texas Pale Ale,Rahr & Sons Brewing Company,TX,South,Pale Ale,Ale,12,5.8,60
Point Special,Stevens Point Brewery,WI,Midwest,Lager,Lager,12,4.7,9
Dark Voyage Black IPA (2013),Capital Brewery,WI,Midwest,Dark Ale,Dark,12,6.5,80
Wisconsin Amber,Capital Brewery,WI,Midwest,Lager,Lager,12,5.2,28
Lake House,Capital Brewery,WI,Midwest,German Lager,Lager,12,4.6,18
Bohemian Pils,Narragansett Brewing Company,RI,Northeast,Pale Ale,Ale,16,5.2,30
Ermal's,Warped Wing Brewing Company,OH,Midwest,Pale Ale,Ale,16,5.4,20
Scarecrow,450 North Brewing Company,IN,Midwest,IPA,Strong Ale,16,6.9,65
Ironman,450 North Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,9.0,50
Honey Kolsch,450 North Brewing Company,IN,Midwest,German Ale,Ale,16,4.6,15
Copperhead Amber,450 North Brewing Company,IN,Midwest,Belgian,Ale,16,5.2,18
Horny Toad Cerveza,COOP Ale Works,OK,South,Pale Ale,Ale,16,5.3,25
Native Amber,COOP Ale Works,OK,South,Dark Ale,Dark,16,6.3,35
Twisted X,Twisted X Brewing Company,TX,South,Lager,Lager,12,5.1,19
White (2015),Real Ale Brewing Company,TX,South,Belgian,Ale,12,4.6,25
Sol Drifter,Madtree Brewing Company,OH,Midwest,Pale Ale,Ale,12,4.3,18
Mountain Rescue Pale Ale,Goodlife Brewing Co.,OR,West,Pale Ale,Ale,12,5.5,40
Sunshine Pils,Tröegs Brewing Company,PA,Northeast,Pale Ale,Ale,12,4.5,45
312 Urban Pale Ale,Goose Island Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.4,30
312 Urban Wheat Ale,Goose Island Brewing Company,IL,Midwest,Pale Ale,Ale,16,4.2,18
Survival Stout,Hopworks Urban Brewery,OR,West,Stout / Porter,Dark,16,5.8,35
Hopworks IPA,Hopworks Urban Brewery,OR,West,IPA,Strong Ale,16,6.6,75
Goose Island India Pale Ale,Goose Island Brewery Company,IL,Midwest,IPA,Strong Ale,12,5.9,55
Rubberneck Red,Martin House Brewing Company,TX,South,Dark Ale,Dark,16,5.0,35
Couch Select Lager,Burnside Brewing Co.,OR,West,Lager,Lager,12,5.0,14
Double D Blonde,Hop Valley Brewing Company,OR,West,Pale Ale,Ale,12,4.9,20
Worthy IPA,Worthy Brewing Company,OR,West,IPA,Strong Ale,12,6.9,69
Abominable Winter Ale,Hopworks Urban Brewery,OR,West,Strong Ale,Strong Ale,16,7.3,70
Loki Red Ale,Fearless Brewing Company,OR,West,Dark Ale,Dark,16,7.5,53
Campside Session IPA,Upland Brewing Company,IN,Midwest,IPA,Strong Ale,16,4.5,50
In-Tents India Pale Lager,Base Camp Brewing Co.,OR,West,Lager,Lager,12,6.8,62
Lost Meridian Wit,Base Camp Brewing Co.,OR,West,Belgian,Ale,12,5.0,20
Celestial Meridian Cascadian Dark Lager,Base Camp Brewing Co.,OR,West,Lager,Lager,12,5.1,45
Tsunami IPA,Mehana Brewing Co.,HI,West,IPA,Strong Ale,12,7.2,75
Humpback Blonde Ale,Mehana Brewing Co.,HI,West,Pale Ale,Ale,12,4.2,22
Volcano Red Ale,Mehana Brewing Co.,HI,West,Dark Ale,Dark,12,5.2,23
Mauna Kea Pale Ale,Mehana Brewing Co.,HI,West,Pale Ale,Ale,12,5.4,42
Mound Builder IPA,People's Brewing Company,IN,Midwest,IPA,Strong Ale,12,6.5,77
Amazon Princess IPA,People's Brewing Company,IN,Midwest,IPA,Strong Ale,12,6.2,62
Evil Owl,Branchline Brewing Company,TX,South,Dark Ale,Dark,12,5.2,40
Dream Crusher Double IPA,Deep Ellum Brewing Company,TX,South,IPA,Strong Ale,12,8.5,100
Lewbricator Wheat Dopplebock,Kalona Brewing Company,IA,Midwest,German Lager,Lager,12,7.5,24
Joey Wheat,Burn 'Em Brewing,IN,Midwest,Pale Ale,Ale,16,6.8,16
City of the Sun,Modern Times Beer,CA,West,IPA,Strong Ale,16,7.5,85
3:33 Black IPA,Burn 'Em Brewing,IN,Midwest,IPA,Strong Ale,16,7.2,86
Booming Rollers,Modern Times Beer,CA,West,IPA,Strong Ale,16,6.8,75
Oneida,Modern Times Beer,CA,West,Pale Ale,Ale,16,5.2,50
Aurora,Modern Times Beer,CA,West,Dark Ale,Dark,16,6.7,75
North Third Stout,Blackrocks Brewery,MI,Midwest,Stout / Porter,Dark,12,6.0,30
Onyx Black Ale,Stevens Point Brewery,WI,Midwest,Dark Ale,Dark,12,5.2,9
Beyond The Pale IPA,Stevens Point Brewery,WI,Midwest,IPA,Strong Ale,12,6.3,64
#002 American I.P.A.,Wisconsin Brewing Company,WI,Midwest,IPA,Strong Ale,12,7.1,60
