Beer,Brewery,State,Region,Style_12,Style_05,Size,ABV,IBU
Independence Pass Ale,Aspen Brewing Company,CO,West,IPA,Strong Ale,12,7.0,67
Longboard Island Lager,Kona Brewing Company,HI,West,Lager,Lager,12,4.6,18
Snowshoe White Ale,Midnight Sun Brewing Company,AK,West,Belgian,Ale,12,4.8,12
Kodiak Brown Ale,Midnight Sun Brewing Company,AK,West,Dark Ale,Dark,12,5.0,24
HGH (Home Grown Hops): Part Duh,Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,70
Wee Muckle (2011),Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,9.0,30
Long Hammer IPA,Redhook Brewery,WA,West,IPA,Strong Ale,12,6.5,44
312 Urban Wheat Ale (2012),Goose Island Brewing Company,IL,Midwest,Pale Ale,Ale,12,4.2,20
Narragansett Cream Ale,Narragansett Brewing Company,RI,Northeast,Pale Ale,Ale,16,5.0,22
Big Sky IPA (2012),Big Sky Brewing Company,MT,West,IPA,Strong Ale,12,6.2,65
Shift,New Belgium Brewing Company,CO,West,Lager,Lager,16,5.0,29
White Thai,Westbrook Brewing Company,SC,South,Belgian,Ale,12,5.0,16
Westbrook IPA,Westbrook Brewing Company,SC,South,IPA,Strong Ale,12,6.8,65
Blackbeary Wheat,Long Trail Brewing Company,VT,Northeast,Sour,Other,12,4.0,8
Long Trail Ale (1),Long Trail Brewing Company,VT,Northeast,German Ale,Ale,12,4.6,30
Barney Flats Oatmeal Stout (2012),Anderson Valley Brewing Company,CA,West,Stout / Porter,Dark,12,5.7,13
Maduro Brown Ale,Cigar City Brewing Company,FL,South,Dark Ale,Dark,12,5.5,25
Tocobaga Red Ale,Cigar City Brewing Company,FL,South,Dark Ale,Dark,12,7.2,75
Churchkey Pilsner Style Beer,Churchkey Can Company,WA,West,Pale Ale,Ale,12,4.9,29
East India Pale Ale,Brooklyn Brewery,NY,Northeast,IPA,Strong Ale,12,6.8,47
Ranger IPA,New Belgium Brewing Company,CO,West,IPA,Strong Ale,16,6.5,70
Fat Tire Amber Ale,New Belgium Brewing Company,CO,West,Dark Ale,Dark,16,5.2,18
Persnickety Pale,Two Beers Brewing Company,WA,West,Pale Ale,Ale,12,5.7,36
Jon Boat Coastal Ale,Intuition Ale Works,FL,South,Pale Ale,Ale,12,4.5,20
I-10 IPA,Intuition Ale Works,FL,South,IPA,Strong Ale,12,6.8,55
Eclipse Black IPA,Crabtree Brewing Company,CO,West,Dark Ale,Dark,16,7.7,71
Le Mort Vivant (2011),Southern Star Brewing Company,TX,South,Ale - Other,Ale,12,6.9,23
People's Pale Ale,Intuition Ale Works,FL,South,Pale Ale,Ale,12,5.3,28
Rocket Girl,Asheville Brewing Company,NC,South,German Ale,Ale,12,3.2,27
Point the Way IPA (2012),Golden Road Brewing,CA,West,IPA,Strong Ale,16,5.9,60
Golden Road Hefeweizen (2012),Golden Road Brewing,CA,West,German Ale,Ale,16,4.6,15
La Perouse White,Maui Brewing Company,HI,West,Belgian,Ale,12,5.0,12
Jai Alai IPA,Cigar City Brewing Company,FL,South,IPA,Strong Ale,12,7.5,70
Florida Cracker Belgian Wit,Cigar City Brewing Company,FL,South,Belgian,Ale,12,5.0,18
Old Elephant Foot IPA,Tampa Bay Brewing Company,FL,South,IPA,Strong Ale,16,7.0,80
Big Cock IPA,Great River Brewery,IA,Midwest,IPA,Strong Ale,16,7.0,70
Oktoberfest,Great River Brewery,IA,Midwest,German Lager,Lager,16,5.9,25
Dirty Blonde Ale,Atwater Brewery,MI,Midwest,Pale Ale,Ale,12,4.5,8
Amber Road,Baxter Brewing Company,ME,Northeast,Dark Ale,Dark,12,5.5,35
Grapefruit Jungle (GFJ) (2011),Sun King Brewing Company,IN,Midwest,IPA,Strong Ale,16,7.5,77
Special Edition: Allies Win The War!,21st Amendment Brewery,CA,West,Strong Ale,Strong Ale,12,8.5,52
Tin Roof Blonde Ale,Tin Roof Brewing Company,LA,South,Pale Ale,Ale,12,4.5,18
Grand Circus IPA,Atwater Brewery,MI,Midwest,IPA,Strong Ale,12,5.0,62
Atwater's Lager,Atwater Brewery,MI,Midwest,German Lager,Lager,12,5.0,12
Sun King Oktoberfest (2011),Sun King Brewing Company,IN,Midwest,German Lager,Lager,16,5.5,23
Diesel,Sixpoint Craft Ales,NY,Northeast,Stout / Porter,Dark,16,6.3,69
Winter Solstice,Anderson Valley Brewing Company,CA,West,Dark Ale,Dark,12,6.9,6
SoDo Brown Ale,Two Beers Brewing Company,WA,West,Dark Ale,Dark,12,5.4,20
Immersion Amber Ale (2011),Two Beers Brewing Company,WA,West,Dark Ale,Dark,12,5.2,27
40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,IA,Midwest,Dark Ale,Dark,16,4.8,25
Jockamo IPA,Abita Brewing Company,LA,South,IPA,Strong Ale,12,6.5,52
Purple Haze,Abita Brewing Company,LA,South,Sour,Other,12,4.2,13
Abita Amber,Abita Brewing Company,LA,South,Lager,Lager,12,4.5,17
Bomb Lager (Old Recipe),Bomb Beer Company,NY,Northeast,German Lager,Lager,12,4.5,27
Autumnation (2011-12) (2011),Sixpoint Craft Ales,NY,Northeast,Ale - Other,Ale,16,6.0,48
Evolutionary IPA (2011),Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,6.2,70
Alteration,Hops & Grain Brewery,TX,South,German Ale,Ale,12,5.1,40
Pale Dog,Hops & Grain Brewery,TX,South,Pale Ale,Ale,12,6.0,50
Alphadelic IPA (2011),Hop Valley Brewing Company,OR,West,IPA,Strong Ale,12,6.5,90
Double D Blonde (2011),Hop Valley Brewing Company,OR,West,Pale Ale,Ale,12,4.9,20
Hilliard's Amber Ale,Hilliard's Beer,WA,West,Dark Ale,Dark,16,5.5,60
Hilliard's Saison,Hilliard's Beer,WA,West,Ale - Other,Ale,16,6.6,30
Voodoo Bengal Pale Ale,Tin Roof Brewing Company,LA,South,Pale Ale,Ale,12,5.5,37
Perfect Tin Amber,Tin Roof Brewing Company,LA,South,Dark Ale,Dark,12,4.5,28
Trailhead India Style Session Ale (2011),Two Beers Brewing Company,WA,West,IPA,Strong Ale,12,4.8,48
Great Crescent Belgian Style Wit,Great Crescent Brewery,IN,Midwest,Belgian,Ale,16,5.1,13
Fox Tail Gluten Free Ale,Joseph James Brewing Company,NV,West,Pale Ale,Ale,12,5.0,50
Hop Box Imperial IPA,Joseph James Brewing Company,NV,West,IPA,Strong Ale,12,9.3,90
Joseph James American Lager,Joseph James Brewing Company,NV,West,Lager,Lager,12,5.2,15
Top Rope Mexican-style Craft Lager,Upslope Brewing Company,CO,West,Lager,Lager,12,4.8,15
Sympathy for the Lager,Karbach Brewing Company,TX,South,Lager,Lager,12,4.9,45
Weisse Versa,Karbach Brewing Company,TX,South,German Ale,Ale,12,5.2,15
Hopadillo India Pale Ale,Karbach Brewing Company,TX,South,IPA,Strong Ale,12,6.6,70
Dundee Summer Wheat Beer,Dundee Brewing Company,NY,Northeast,Pale Ale,Ale,12,4.5,18
Point Oktoberfest,Stevens Point Brewery,WI,Midwest,German Lager,Lager,12,5.7,15
Bourbon's Barrel Stout,Great Crescent Brewery,IN,Midwest,Stout / Porter,Dark,16,7.5,65
Special Amber,Sprecher Brewing Company,WI,Midwest,Lager,Lager,12,5.0,22
Upslope Craft Lager,Upslope Brewing Company,CO,West,Lager,Lager,12,4.8,22
Great Crescent Stout,Great Crescent Brewery,IN,Midwest,Stout / Porter,Dark,16,8.0,66
Great Crescent Dark Lager,Great Crescent Brewery,IN,Midwest,Lager,Lager,16,5.7,23
Great Crescent Mild Ale,Great Crescent Brewery,IN,Midwest,Dark Ale,Dark,16,4.2,26
Great Crescent IPA (2011),Great Crescent Brewery,IN,Midwest,IPA,Strong Ale,16,6.2,60
Flyin' HI.P.Hay,Maui Brewing Company,HI,West,IPA,Strong Ale,12,6.8,68
Sockeye Red IPA,Midnight Sun Brewing Company,AK,West,IPA,Strong Ale,12,5.7,70
Greenville Pale Ale,Twin Lakes Brewing Company,DE,South,Pale Ale,Ale,12,5.5,52
Hop Crisis,21st Amendment Brewery,CA,West,IPA,Strong Ale,12,9.7,94
Colorado Native (2011),AC Golden Brewing Company,CO,West,Lager,Lager,12,5.5,26
Hop Slayer Double IPA (2011),Wild Onion Brewing Company,IL,Midwest,IPA,Strong Ale,12,8.2,100
Shiva IPA,Asheville Brewing Company,NC,South,IPA,Strong Ale,12,6.0,69
Torpedo,Sierra Nevada Brewing Company,CA,West,IPA,Strong Ale,16,7.2,65
The Crisp (2011),Sixpoint Craft Ales,NY,Northeast,German Lager,Lager,16,5.4,42
Sweet Action (2011),Sixpoint Craft Ales,NY,Northeast,Pale Ale,Ale,16,5.2,34
Righteous Ale (2011),Sixpoint Craft Ales,NY,Northeast,Other,Other,16,6.3,57
Bengali Tiger (2011),Sixpoint Craft Ales,NY,Northeast,IPA,Strong Ale,16,6.4,62
Mustang Golden Ale,Mustang Brewing Company,OK,South,Pale Ale,Ale,12,5.3,10
Washita Wheat,Mustang Brewing Company,OK,South,Pale Ale,Ale,12,5.3,14
Fistmas Ale,Revolution Brewing Company,IL,Midwest,Other,Other,12,6.1,31
Oktoberfest Revolution,Revolution Brewing Company,IL,Midwest,German Lager,Lager,12,5.7,25
Anti-Hero IPA,Revolution Brewing Company,IL,Midwest,IPA,Strong Ale,12,6.5,70
Bottom Up Belgian Wit,Revolution Brewing Company,IL,Midwest,Belgian,Ale,12,5.0,14
Sky High Rye,Arcadia Brewing Company,MI,Midwest,Pale Ale,Ale,12,6.0,55
Halcyon Unfiltered Wheat,Tallgrass Brewing Company,KS,Midwest,Pale Ale,Ale,12,5.0,20
OB-1 Organic Ale,Snake River Brewing Company,WY,West,Dark Ale,Dark,12,5.0,22
Snake River Lager,Snake River Brewing Company,WY,West,Lager,Lager,12,5.0,18
Narragansett Summer Ale,Narragansett Brewing Company,RI,Northeast,Pale Ale,Ale,16,4.2,24
Snake River Pale Ale,Snake River Brewing Company,WY,West,Pale Ale,Ale,12,5.2,32
Sierra Nevada Pale Ale,Sierra Nevada Brewing Company,CA,West,Pale Ale,Ale,12,5.6,37
Pyramid Hefeweizen (2011),Pyramid Breweries,WA,West,German Ale,Ale,12,5.2,18
Wild Onion Summer Wit,Wild Onion Brewing Company,IL,Midwest,Belgian,Ale,12,4.2,13
SummerBright Ale,Breckenridge Brewery,CO,West,Pale Ale,Ale,12,4.5,15
Crank Yanker IPA (2011),Eddyline Brewery & Restaurant,CO,West,IPA,Strong Ale,16,7.8,74
Johan the Barleywine,Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,9.9,60
Pako’s EyePA,Snake River Brewing Company,WY,West,IPA,Strong Ale,12,6.8,60
Rumspringa Golden Bock,Lancaster Brewing Company,PA,Northeast,German Lager,Lager,12,6.6,30
One Hit Wonder,Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,9.0,60
Whitsun,Arcadia Brewing Company,MI,Midwest,Pale Ale,Ale,12,6.2,17
Great Crescent Blonde Ale (2011),Great Crescent Brewery,IN,Midwest,Pale Ale,Ale,16,5.3,22
G'KNIGHT (12 oz.),Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,8.7,85
Mexican Logger,Ska Brewing Company,CO,West,Lager,Lager,12,4.2,18
Black Adder IBA (Current),Buckbean Brewing Company,NV,West,Dark Ale,Dark,16,7.3,85
Common Sense Kentucky Common Ale,Upstate Brewing Company,NY,Northeast,Dark Ale,Dark,16,5.3,22
Upstate I.P.W.,Upstate Brewing Company,NY,Northeast,IPA,Strong Ale,12,6.5,70
Heady Topper,The Alchemist,VT,Northeast,IPA,Strong Ale,16,8.0,120
Redband Stout,Great River Brewery,IA,Midwest,Stout / Porter,Dark,16,6.0,36
Festie,Starr Hill Brewery,VA,South,German Lager,Lager,12,4.8,12
Northern Lights India Pale Ale,Starr Hill Brewery,VA,South,IPA,Strong Ale,12,6.5,52
Hop Ottin' IPA (2011),Anderson Valley Brewing Company,CA,West,IPA,Strong Ale,12,7.0,80
Jack Stout,Wild Onion Brewing Company,IL,Midwest,Stout / Porter,Dark,12,6.0,23
Blacktop Blonde,TailGate Beer,CA,West,Pale Ale,Ale,12,5.0,19
TailGate Hefeweizen,TailGate Beer,CA,West,German Ale,Ale,12,4.9,28
#9,Magic Hat Brewing Company,VT,Northeast,Sour,Other,12,5.1,20
Hop Knot IPA,Four Peaks Brewing Company,AZ,West,IPA,Strong Ale,12,6.7,47
2012 Black Ale,Stevens Point Brewery,WI,Midwest,Dark Ale,Dark,12,5.4,32
Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,CO,West,Dark Ale,Dark,12,5.2,25
Bitter American (2011),21st Amendment Brewery,CA,West,Pale Ale,Ale,12,4.4,42
Copper Hook (2011),Redhook Brewery,WA,West,Dark Ale,Dark,12,5.8,27
WET,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,7.5,90
Fireside Chat (2010),21st Amendment Brewery,CA,West,Dark Ale,Dark,12,7.9,45
Gandhi-Bot Double IPA (12 oz.),New England Brewing Company,CT,Northeast,IPA,Strong Ale,12,8.8,85
Vortex IPA,Fort George Brewery,OR,West,IPA,Strong Ale,16,7.4,97
Hop Shock IPA (2010),SanTan Brewing Company,AZ,West,IPA,Strong Ale,12,7.0,85
Narragansett Bock,Narragansett Brewing Company,RI,Northeast,German Lager,Lager,16,6.5,32
Narragansett Fest Lager,Narragansett Brewing Company,RI,Northeast,German Lager,Lager,16,5.5,15
Mana Wheat,Maui Brewing Company,HI,West,Pale Ale,Ale,12,5.5,15
Snake Handler Double IPA,Good People Brewing Company,AL,South,IPA,Strong Ale,12,9.3,103
Coffee Oatmeal Stout,Good People Brewing Company,AL,South,Stout / Porter,Dark,12,6.0,54
Good People IPA,Good People Brewing Company,AL,South,IPA,Strong Ale,12,6.0,64
Good People American Brown Ale,Good People Brewing Company,AL,South,Dark Ale,Dark,12,5.8,36
SanTan HefeWeizen (2010),SanTan Brewing Company,AZ,West,German Ale,Ale,12,5.0,15
Devil’s Ale (2010),SanTan Brewing Company,AZ,West,Pale Ale,Ale,12,5.5,45
Wee Mac Scottish-Style Ale,Sun King Brewing Company,IN,Midwest,Strong Ale,Strong Ale,16,5.4,23
Lancaster German Style Kölsch,Lancaster Brewing Company,PA,Northeast,German Ale,Ale,12,4.8,28
Lucky U IPA,Breckenridge Brewery,CO,West,IPA,Strong Ale,12,6.2,68
483 Pale Ale (2010),Great River Brewery,IA,Midwest,Pale Ale,Ale,16,5.3,48
The Corruption,DC Brau Brewing Company,DC,South,IPA,Strong Ale,12,6.5,80
Pamola Xtra Pale Ale,Baxter Brewing Company,ME,Northeast,Pale Ale,Ale,12,4.9,28
Stowaway IPA,Baxter Brewing Company,ME,Northeast,IPA,Strong Ale,12,6.9,69
Kilt Lifter Scottish-Style Ale (2009),Four Peaks Brewing Company,AZ,West,Strong Ale,Strong Ale,12,6.0,21
Back in Black,21st Amendment Brewery,CA,West,Dark Ale,Dark,12,6.8,65
Flaming Damsel Lager (2010),Milwaukee Brewing Company,WI,Midwest,Lager,Lager,16,4.8,18
Louie’s Demise Immort-Ale (2010),Milwaukee Brewing Company,WI,Midwest,Dark Ale,Dark,16,5.1,24
Native Amber (2013),COOP Ale Works,OK,South,Dark Ale,Dark,16,6.3,35
Horny Toad Cerveza (2013),COOP Ale Works,OK,South,Pale Ale,Ale,16,5.3,25
Oktoberfest Lager,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,5.8,25
Black Star Double Hopped Golden Lager (12 oz.),Great Northern Brewing Company,MT,West,Lager,Lager,12,4.5,15
Paddy Pale Ale,Wild Onion Brewing Company,IL,Midwest,Pale Ale,Ale,12,5.6,41
Scape Goat Pale Ale (2010),Big Sky Brewing Company,MT,West,Pale Ale,Ale,12,5.0,40
Avery Joe’s Premium American Pilsner,Avery Brewing Company,CO,West,German Lager,Lager,12,4.7,42
Silverback Pale Ale,Wynkoop Brewing Company,CO,West,Pale Ale,Ale,12,5.5,40
Point Nude Beach Summer Wheat (2010),Stevens Point Brewery,WI,Midwest,Pale Ale,Ale,12,5.0,7
Point Cascade Pale Ale,Stevens Point Brewery,WI,Midwest,Pale Ale,Ale,12,5.4,33
Point Amber Classic,Stevens Point Brewery,WI,Midwest,Lager,Lager,12,4.7,14
Point Special Lager,Stevens Point Brewery,WI,Midwest,Lager,Lager,12,4.7,9
Morning Wood Wheat (Current),Pug Ryan's Brewery,CO,West,Pale Ale,Ale,12,5.9,14
Epicenter Amber Ale (2010),SanTan Brewing Company,AZ,West,Dark Ale,Dark,12,5.5,20
Hurricane Amber Ale,Coastal Extreme Brewing Company,RI,Northeast,Dark Ale,Dark,12,5.2,24
Full Nelson Pale Ale (2010),Blue Mountain Brewery,VA,South,Pale Ale,Ale,12,5.9,60
Ranger IPA (Current),New Belgium Brewing Company,CO,West,IPA,Strong Ale,12,6.5,70
White Rascal,Avery Brewing Company,CO,West,Belgian,Ale,12,5.6,10
Avery India Pale Ale,Avery Brewing Company,CO,West,IPA,Strong Ale,12,6.3,69
Ellie’s Brown Ale,Avery Brewing Company,CO,West,Dark Ale,Dark,12,5.5,17
Köld Lager (2010),Tallgrass Brewing Company,KS,Midwest,German Lager,Lager,16,5.0,16
Oasis (2010),Tallgrass Brewing Company,KS,Midwest,IPA,Strong Ale,16,7.2,93
Tallgrass Ale,Tallgrass Brewing Company,KS,Midwest,Dark Ale,Dark,16,4.4,22
Buffalo Sweat (2010),Tallgrass Brewing Company,KS,Midwest,Stout / Porter,Dark,16,5.0,20
Tallgrass IPA,Tallgrass Brewing Company,KS,Midwest,IPA,Strong Ale,16,6.3,60
Colorado Kölsch,Steamworks Brewing Company,CO,West,German Ale,Ale,12,4.9,17
Steam Engine Lager,Steamworks Brewing Company,CO,West,Lager,Lager,12,5.7,25
Third Eye Pale Ale,Steamworks Brewing Company,CO,West,IPA,Strong Ale,12,6.5,65
Eddy Out Pale Ale,Kettle House Brewing Company,MT,West,Pale Ale,Ale,16,5.5,50
Double Haul IPA,Kettle House Brewing Company,MT,West,IPA,Strong Ale,16,6.5,65
Cold Smoke Scotch Ale,Kettle House Brewing Company,MT,West,Strong Ale,Strong Ale,16,6.5,11
Avalanche Ale,Breckenridge Brewery,CO,West,Dark Ale,Dark,12,5.4,19
Haywire Hefeweizen (2010),Pyramid Breweries,WA,West,German Ale,Ale,16,5.2,18
Hazed & Infused (2010),Boulder Beer Company,CO,West,Pale Ale,Ale,12,4.9,35
Boont Amber Ale (2011),Anderson Valley Brewing Company,CA,West,Dark Ale,Dark,12,5.8,15
Summer Solstice (2011),Anderson Valley Brewing Company,CA,West,Pale Ale,Ale,12,5.6,4
Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,CA,West,Pale Ale,Ale,12,5.5,28
Fat Tire Amber Ale (2008),New Belgium Brewing Company,CO,West,Dark Ale,Dark,12,5.2,18
Modus Hoperandi,Ska Brewing Company,CO,West,IPA,Strong Ale,12,6.8,65
Sunlight Cream Ale,Sun King Brewing Company,IN,Midwest,Pale Ale,Ale,16,5.3,20
Osiris Pale Ale (2010),Sun King Brewing Company,IN,Midwest,Pale Ale,Ale,16,5.6,50
British Pale Ale,7 Seas Brewing Company,WA,West,Pale Ale,Ale,16,5.4,30
Ballz Deep Double IPA,7 Seas Brewing Company,WA,West,IPA,Strong Ale,16,8.4,82
Buried Hatchet Stout,Southern Star Brewing Company,TX,South,Stout / Porter,Dark,12,8.3,50
Pine Belt Pale Ale,Southern Star Brewing Company,TX,South,Pale Ale,Ale,16,6.5,45
Bombshell Blonde,Southern Star Brewing Company,TX,South,Pale Ale,Ale,12,5.0,20
Gandhi-Bot Double IPA (16 oz.) (2010),New England Brewing Company,CT,Northeast,IPA,Strong Ale,16,8.8,85
Caldera Pale Ale (2011),Caldera Brewing Company,OR,West,Pale Ale,Ale,12,5.6,55
Ashland Amber Ale,Caldera Brewing Company,OR,West,Dark Ale,Dark,12,5.4,24
Caldera IPA,Caldera Brewing Company,OR,West,IPA,Strong Ale,12,6.1,94
Montana Trout Slayer Ale (2009),Big Sky Brewing Company,MT,West,Pale Ale,Ale,12,5.0,35
Moose Drool Brown Ale (2009),Big Sky Brewing Company,MT,West,Dark Ale,Dark,12,5.1,26
Bikini Blonde Lager,Maui Brewing Company,HI,West,German Lager,Lager,12,4.5,18
Big Swell IPA,Maui Brewing Company,HI,West,IPA,Strong Ale,12,6.2,65
Tule Duck Red Ale (Current),Buckbean Brewing Company,NV,West,Dark Ale,Dark,16,6.2,42
Original Orange Blossom Ale (Current),Buckbean Brewing Company,NV,West,Other,Other,16,5.8,35
Black Noddy Lager (Current),Buckbean Brewing Company,NV,West,German Lager,Lager,16,5.2,40
113 IPA,Sly Fox Brewing Company,PA,Northeast,IPA,Strong Ale,12,7.0,113
Dunkel Lager,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,5.3,21
Royal Weisse Ale,Sly Fox Brewing Company,PA,Northeast,German Ale,Ale,12,5.6,11
Pikeland Pils,Sly Fox Brewing Company,PA,Northeast,German Lager,Lager,12,4.9,44
Phoenix Pale Ale,Sly Fox Brewing Company,PA,Northeast,Pale Ale,Ale,12,5.1,40
Bitter Brewer,Surly Brewing Company,MN,Midwest,Sour,Other,16,4.0,37
SurlyFest,Surly Brewing Company,MN,Midwest,Other,Other,16,5.5,34
Coffee Bender,Surly Brewing Company,MN,Midwest,Dark Ale,Dark,16,5.1,45
Bender,Surly Brewing Company,MN,Midwest,Dark Ale,Dark,16,5.1,45
Abrasive Ale,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,9.7,120
Hell,Surly Brewing Company,MN,Midwest,German Lager,Lager,16,5.1,20
CynicAle,Surly Brewing Company,MN,Midwest,Ale - Other,Ale,16,6.7,33
Furious,Surly Brewing Company,MN,Midwest,IPA,Strong Ale,16,6.2,99
Monk's Blood,21st Amendment Brewery,CA,West,Belgian,Ale,12,8.3,35
Brew Free! or Die IPA,21st Amendment Brewery,CA,West,IPA,Strong Ale,12,7.0,65
Hell or High Watermelon Wheat,21st Amendment Brewery,CA,West,Sour,Other,12,4.9,17
Ten Fidy Imperial Stout,Oskar Blues Brewery,CO,West,Stout / Porter,Dark,12,9.9,98
GUBNA Imperial IPA,Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,9.9,100
Old Chub,Oskar Blues Brewery,CO,West,Strong Ale,Strong Ale,12,8.0,35
Gordon Ale (2009),Oskar Blues Brewery,CO,West,IPA,Strong Ale,12,8.7,85
Dale's Pale Ale,Oskar Blues Brewery,CO,West,Pale Ale,Ale,12,6.5,65
